행정기관,인구수(계),인구수(남),인구수(여),구성비(계),구성비(남),구성비(여),성비,세대수,세대당인구,관리기관명,관리부서명,부서전화번호,데이터기준일자
의정부1동       ,31467 ,16077 ,15390 ,6.89,3.52,3.37,104.46,19109 ,1.65,의정부시,시민봉사과,031-828-2464,2020-09-04
의정부2동       ,31440 ,15573 ,15867 ,6.88,3.41,3.47,98.15,15763 ,1.99,의정부시,시민봉사과,031-828-2464,2020-09-04
호원1동         ,36282 ,17751 ,18531 ,7.95,3.89,4.06,95.79,15508 ,2.34,의정부시,시민봉사과,031-828-2464,2020-09-04
호원2동         ,35443 ,17196 ,18247 ,7.76,3.77,4,94.24,13509 ,2.62,의정부시,시민봉사과,031-828-2464,2020-09-04
장암동          ,20806 ,9935 ,10871 ,4.56,2.18,2.38,91.39,8585 ,2.42,의정부시,시민봉사과,031-828-2464,2020-09-04
신곡1동         ,44492 ,21944 ,22548 ,9.74,4.81,4.94,97.32,18076 ,2.46,의정부시,시민봉사과,031-828-2464,2020-09-04
신곡2동         ,44929 ,21764 ,23165 ,9.84,4.77,5.07,93.95,17491 ,2.57,의정부시,시민봉사과,031-828-2464,2020-09-04
송산1동         ,36504 ,18113 ,18391 ,7.99,3.97,4.03,98.49,15830 ,2.31,의정부시,시민봉사과,031-828-2464,2020-09-04
송산2동         ,33932 ,16782 ,17150 ,7.43,3.67,3.76,97.85,12991 ,2.61,의정부시,시민봉사과,031-828-2464,2020-09-04
송산3동         ,46291 ,22538 ,23753 ,10.14,4.94,5.2,94.88,17394 ,2.66,의정부시,시민봉사과,031-828-2464,2020-09-04
자금동          ,27390 ,13420 ,13970 ,6,2.94,3.06,96.06,11693 ,2.34,의정부시,시민봉사과,031-828-2464,2020-09-04
가능동          ,26216 ,13067 ,13149 ,5.74,2.86,2.88,99.38,12406 ,2.11,의정부시,시민봉사과,031-828-2464,2020-09-04
흥선동          ,19200 ,9725 ,9475 ,4.2,2.13,2.07,102.64,9265 ,2.07,의정부시,시민봉사과,031-828-2464,2020-09-04
녹양동          ,22268 ,11100 ,11168 ,4.88,2.43,2.45,99.39,9442 ,2.36,의정부시,시민봉사과,031-828-2464,2020-09-04
